sport,outcome,dropped_season,coef,se,coef_base,se_base,delta,delta_over_se_base,n_obs,n_obs_base
nba,home_margin,2020,0.8825132381754992,0.9803907983882536,0.9068561398781771,0.9636767391057645,-0.024342901702677944,-0.025260443377793606,5793,6745
nba,home_margin,2022,1.3201510098562548,1.0159447630139005,0.9068561398781771,0.9636767391057645,0.41329486997807763,0.428872933429514,5534,6745
nba,home_margin,2023,0.5530194838541868,0.9694090605762569,0.9068561398781771,0.9636767391057645,-0.3538366560239904,-0.3671735984333606,5536,6745
nba,home_win,2018,0.010056250220880152,0.026652048672582924,0.006394053097087203,0.026775172040502268,0.003662197123792949,0.1367758578078683,5534,6745
nba,home_win,2019,0.003519727043809888,0.026792659269595984,0.006394053097087203,0.026775172040502268,-0.0028743260532773152,-0.10735042332984376,5535,6745
nba,home_win,2020,0.008235699916250717,0.027691529277798083,0.006394053097087203,0.026775172040502268,0.0018416468191635137,0.06878188556091036,5793,6745
nba,home_win,2022,0.01644302047768626,0.027645508462710692,0.006394053097087203,0.026775172040502268,0.010048967380599058,0.3753091619877619,5534,6745
nba,home_win,2023,-0.011147733924817426,0.027167495717295827,0.006394053097087203,0.026775172040502268,-0.017541787021904627,-0.6551512347098841,5536,6745
nhl,home_margin,2018,0.01179419877520962,0.13565992370770494,0.03937298599981288,0.1307538601911813,-0.02757878722460326,-0.21092139982925961,5606,6854
nhl,home_margin,2019,0.03693056679380684,0.13377348114095192,0.03937298599981288,0.1307538601911813,-0.00244241920600604,-0.018679518925367598,5624,6854
nhl,home_margin,2020,0.05703331613683427,0.12759240566335014,0.03937298599981288,0.1307538601911813,0.01766033013702139,0.13506545895623578,5806,6854
nhl,home_margin,2022,0.00228032030951917,0.1311392245668454,0.03937298599981288,0.1307538601911813,-0.03709266569029371,-0.2836831404905278,5568,6854
nhl,home_margin,2023,0.058133372816358685,0.13548896498133414,0.03937298599981288,0.1307538601911813,0.018760386816545807,0.14347864597737592,5573,6854
nhl,home_win,2018,0.001735520749222352,0.026991609479676798,0.010685013777513777,0.02528461954214839,-0.008949493028291426,-0.3539500767797989,5606,6854
nhl,home_win,2019,0.012383515432540798,0.025340629578103936,0.010685013777513777,0.02528461954214839,0.0016985016550270203,0.06717529018760555,5624,6854
nhl,home_win,2020,0.014309249338540511,0.024277995520535365,0.010685013777513777,0.02528461954214839,0.0036242355610267337,0.14333755566245665,5806,6854
nhl,home_win,2022,0.006217211234938823,0.026068382765668044,0.010685013777513777,0.02528461954214839,-0.0044678025425749545,-0.17670040615510615,5568,6854
nhl,home_win,2023,0.00786218000872133,0.025881917199985192,0.010685013777513777,0.02528461954214839,-0.0028228337687924467,-0.1116423272292827,5573,6854
